,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__C,param_clf__estimator__kernel,param_clf__estimator__probability,param_clf__sample_weight,param_clf__estimator__max_depth,param_clf__estimator__min_samples_leaf,param_clf__estimator__min_samples_split,param_clf__estimator__l1_ratio,param_clf__estimator__penalty,param_clf__estimator__solver,param_clf__estimator__loss,param_clf__estimator__max_iter,param_clf__estimator__tol,param_clf__estimator__learning_rate,param_clf__estimator__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,dfkey,drop_first,param_clf__estimator__activation,param_clf__estimator__batch_size,param_clf__estimator__callbacks,param_clf__estimator__denseLayerUnits,param_clf__estimator__dropout_rate,param_clf__estimator__epochs,param_clf__estimator__l2Alpha,param_clf__estimator__lastLayerActivation,param_clf__estimator__lastLayerUnits,param_clf__estimator__metrics,param_clf__estimator__optimizer,param_clf__estimator__validation_split,param_clf__estimator__weighted_metrics
405,1.2913899421691895,0.1825258731842041,0.3735240697860718,0.08410704135894775,"SVC(C=0.5, probability=True)",0.5,rbf,True,True,,,,,,,,,,,,"{'clf__estimator': SVC(C=0.5, probability=True), 'clf__estimator__C': 0.5, 'clf__estimator__kernel': 'rbf', 'clf__estimator__probability': True, 'clf__sample_weight': True}",0.8659156374902502,0.8342039009569611,0.8500597692236056,0.01585586826664459,6,0dropped1ordinaled2rbscaled,False,,,,,,,,,,,,,
271,1.2675011157989502,0.18256473541259766,0.260150671005249,0.04289865493774414,"SVC(C=0.5, probability=True)",0.5,rbf,True,True,,,,,,,,,,,,"{'clf__estimator': SVC(C=0.5, probability=True), 'clf__estimator__C': 0.5, 'clf__estimator__kernel': 'rbf', 'clf__estimator__probability': True, 'clf__sample_weight': True}",0.8649523616844019,0.8323873769439145,0.8486698693141582,0.016282492370243706,1,0dropped2rbscaled,False,,,,,,,,,,,,,
205,0.4225550889968872,0.01950705051422119,0.01637279987335205,0.009608626365661621,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.25,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.25, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8447962985280784,0.851536780283821,0.8481665394059497,0.0033702408778713,6,0dropped1ordinaled2rbscaled,True,,,,,,,,,,,,,
217,0.20477068424224854,0.0006531476974487305,0.00579226016998291,0.00015532970428466797,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,1.0,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 1.0, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8448152948357273,0.8514733006895255,0.8481442977626263,0.0033290029268991383,7,0dropped1ordinaled2rbscaled,True,,,,,,,,,,,,,
201,0.16853225231170654,0.004796147346496582,0.007280111312866211,0.0009980201721191406,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8447459971759725,0.8514440652414397,0.8480950312087061,0.0033490340327335666,8,0dropped1ordinaled2rbscaled,True,,,,,,,,,,,,,
213,0.2519059181213379,0.03467059135437012,0.009215831756591797,0.003454446792602539,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.75,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.75, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8446926264602758,0.8514376817886125,0.8480651541244442,0.0033725276641683455,9,0dropped1ordinaled2rbscaled,True,,,,,,,,,,,,,
209,0.2024766206741333,0.0005210638046264648,0.013227224349975586,0.00036907196044921875,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.5,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.5, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8446597646107674,0.8514204464410412,0.8480401055259044,0.003380340915136893,10,0dropped1ordinaled2rbscaled,True,,,,,,,,,,,,,
409,1.0680196285247803,0.09266352653503418,0.2505650520324707,0.0031404495239257812,"SVC(C=0.5, probability=True)",1.0,rbf,True,True,,,,,,,,,,,,"{'clf__estimator': SVC(C=0.5, probability=True), 'clf__estimator__C': 1.0, 'clf__estimator__kernel': 'rbf', 'clf__estimator__probability': True, 'clf__sample_weight': True}",0.8609440199959395,0.8323961896438626,0.846670104819901,0.014273915176038432,7,0dropped1ordinaled2rbscaled,False,,,,,,,,,,,,,
275,0.9943233728408813,0.24770081043243408,0.30077075958251953,0.013546228408813477,"SVC(C=0.5, probability=True)",1.0,rbf,True,True,,,,,,,,,,,,"{'clf__estimator': SVC(C=0.5, probability=True), 'clf__estimator__C': 1.0, 'clf__estimator__kernel': 'rbf', 'clf__estimator__probability': True, 'clf__sample_weight': True}",0.860004360822246,0.8325470194569566,0.8462756901396014,0.013728670682644661,2,0dropped2rbscaled,False,,,,,,,,,,,,,
477,0.25324583053588867,0.030937671661376953,0.010796189308166504,0.004764914512634277,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.5,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.5, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8420362778104304,0.8500928587071959,0.8460645682588132,0.00402829044838271,8,0dropped1ordinaled2rbscaled,False,,,,,,,,,,,,,
